word count
ir 161401 
kad 94069 
yra 73314 
tai 53246 
aš 45218 
iš 39306 
mes 39147 
ar 32474 
kaip 32134 
į 31351 
dėl 28822 
bet 25659 
seimo 25404 
buvo 24936 
taip 23305 
o 21679 
labai 21356 
su 21254 
ne 21122 
jeigu 20840 
įstatymo 19561 
nes 19101 
jūs 19024 
būtų 18499 
gerbiamasis 17713 
kai 17656 
ačiū 16996 
kolegos 16893 
tik 16464 
pirmininke 15587 
mūsų 15186 
dar 14546 
dabar 14473 
manau 14273 
apie 13984 
jau 13827 
todėl 13825 
bus 13794 
to 13307 
gerbiamieji 13096 
lietuvos 11663 
kurie 11575 
kas 11452 
savo 11420 
valstybės 11355 
čia 11207 
būti 11204 
komitetas 10849 
nėra 10802 
turi 10779 
pat 10546 
tikrai 10363 
reikia 10209 
jis 10192 
tą 9956 
ką 9847 
po 9383 
nors 9302 
tiek 9248 
metų 9222 
jūsų 9147 
tam 9041 
arba 9006 
teisės 8909 
tikrųjų 8785 
jie 8751 
europos 8684 
nuo 8651 
darbo 8526 
mano 8433 
šiandien 8290 
iki 8065 
tas 8042 
pasakyti 7901 
noriu 7881 
per 7826 
vis 7752 
galima 7666 
man 7625 
prieš 7561 
pagal 7544 
gali 7540 
klausimas 7232 
jų 7232 
komiteto 7063 
daug 6781 
tačiau 6640 
projektą 6633 
iš 6586 
vyriausybės 6529 
tada 6386 
norėčiau 6362 
pritarti 6358 
klausimą 6257 
gal 5944 
kur 5938 
kuris 5854 
daugiau 5849 
įstatymą 5714 
visi 5613 
metu 5579 
be 5464 
dėlto 5445 
kiek 5442 
galbūt 5319 
vienas 5281 
seimas 5230 
kartą 5191 
straipsnio 5129 
tuo 5118 
esmės 5064 
nariai 4985 
vyriausybė 4975 
turėtų 4975 
kodėl 4884 
įstatymas 4832 
siūlau 4774 
toks 4745 
respublikos 4685 
komisijos 4672 
vieną 4669 
tų 4651 
kurios 4650 
šio 4643 
tie 4618 
kitų 4601 
jums 4598 
jos 4563 
prie 4547 
šiuo 4532 
reikėtų 4519 
kuri 4475 
ten 4447 
turime 4428 
ta 4428 
sąjungos 4414 
jo 4366 
dalykas 4332 
atveju 4243 
taigi 4238 
priimti 4144 
reikalų 4127 
atrodo 4108 
narių 4075 
tos 4064 
m 4006 
visiškai 3946 
mums 3909 
tuos 3900 
nei 3898 
tokia 3875 
balsuoti 3845 
ji 3827 
litų 3762 
projektui 3741 
sveikatos 3735 
toliau 3699 
departamento 3683 
lietuvoje 3670 
komisija 3664 
šis 3625 
projekto 3596 
nebuvo 3516 
daryti 3493 
salėje 3412 
net 3409 
projektas 3400 
gerai 3397 
šios 3366 
paklausti 3359 
pritarė 3342 
mln 3312 
visų 3306 
kolega 3278 
metais 3275 
seime 3253 
įstatymų 3233 
padaryti 3232 
kurių 3228 
jį 3186 
aišku 3128 
galėtų 3118 
d 3068 
kartu 3061 
ko 3002 
metus 2970 
irgi 2967 
kitas 2951 
visus 2944 
dėmesį 2911 
šią 2909 
viena 2891 
frakcijos 2830 
savivaldybių 2815 
dalies 2794 
nieko 2790 
apsaugos 2786 
tokių 2785 
dėkoju 2785 
visą 2747 
kadangi 2726 
bei 2721 
pats 2681 
ypač 2679 
pakeitimo 2620 
tiesiog 2616 
negali 2609 
klausimus 2603 
t 2599 
lėšų 2591 
pateikti 2590 
pirmiausia 2583 
tiesų 2566 
svarstymo 2535 
sprendimą 2520 
darbų 2517 
turbūt 2513 
kuriuos 2505 
gana 2503 
vėl 2494 
du 2476 
kurį 2455 
visiems 2447 
dirbti 2445 
pirmininkas 2443 
įstatyme 2439 
dalis 2425 
pranešėjau 2408 
viskas 2406 
labiau 2401 
svarstyti 2392 
prašau 2390 
kitų 2387 
šių 2381 
šiek 2376 
dienos 2376 
nutarimo 2374 
tokį 2366 
teismo 2363 
tvarka 2330 
finansų 2323 
kitaip 2316 
kita 2315 
aiškiai 2280 
seimui 2252 
kalbėti 2252 
tarp 2220 
teisė 2203 
kokia 2188 
bent 2180 
šiam 2175 
sprendimas 2156 
nebus 2155 
nebūtų 2152 
kiti 2148 
jam 2148 
spręsti 2142 
pirmininko 2140 
klausimo 2137 
ši 2130 
saugumo 2128 
pinigų 2117 
juos 2113 
tūkst 2111 
galime 2085 
siūloma 2082 
laiko 2074 
ministerijos 2069 
jiems 2059 
sutarimu 2052 
bendru 2034 
komitete 2033 
veiklos 2020 
manyčiau 2015 
ūkio 2010 
negu 2005 
dieną 1981 
jog 1972 
visas 1966 
ministerija 1959 
problema 1956 
teisių 1952 
laiką 1947 
siūlo 1939 
visa 1925 
ty 1922 
visos 1905 
tiktai 1905 
valstybė 1902 
skirti 1902 
balsavimo 1897 
ministre 1895 
būtent 1890 
visuomenės 1877 
šitą 1873 
kalbama 1873 
suprantu 1869 
kitos 1869 
siūlyčiau 1849 
savivaldybės 1847 
kol 1847 
pritarta 1843 
gerbiamoji 1838 
klausimų 1836 
anksčiau 1828 
kuo 1819 
jokių 1814 
problemų 1808 
dalį 1803 
vardu 1799 
jų 1799 
kada 1797 
galiu 1795 
rinkimų 1784 
prezidento 1781 
balsai 1780 
gauti 1779 
mokslo 1772 
koks 1759 
mielieji 1758 
visai 1757 
situacija 1752 
apskritai 1740 
tokių 1738 
patys 1738 
niekas 1734 
tokios 1731 
turiu 1730 
tarybos 1718 
nereikia 1714 
tarnybos 1707 
kurių 1704 
numatyta 1688 
vyksta 1685 
vyriausybei 1680 
šioje 1672 
vadinasi 1671 
matyt 1668 
etikos 1665 
vieno 1643 
svarstė 1637 
dalykų 1635 
lietuva 1634 
neturi 1629 
pataisos 1625 
esu 1618 
deja 1606 
konstitucijos 1602 
nori 1597 
pasiūlymas 1595 
siūlymas 1594 
kviečiu 1594 
antras 1593 
galimybę 1589 
esame 1583 
pagrindinis 1574 
priimtas 1573 
narys 1559 
kontrolės 1559 
turto 1558 
įstatymus 1558 
vien 1556 
ekonomikos 1550 
sako 1549 
kultūros 1544 
statuto 1542 
tokie 1534 
lyg 1527 
draudimo 1526 
viso 1517 
kam 1516 
atkreipti 1516 
komitetui 1512 
pataisas 1501 
nuomonę 1493 
projekte 1491 
negalima 1491 
dirba 1491 
abejo 1485 
tokio 1483 
klausimai 1480 
pasiūlymų 1471 
ministras 1468 
panašiai 1460 
pajamų 1460 
pasiūlymus 1457 
reikės 1444 
atsakyti 1442 
būdu 1438 
vidaus 1437 
nustatyti 1437 
kurias 1424 
frakcija 1417 
dalykai 1414 
pateikimo 1413 
partijos 1397 
kitus 1395 
tiems 1394 
