URL,Class1 (mandatory),Class2 (not mandatory),Class2 (not mandatory),Duplicate,
http://www.diena.lt/naujienos/vilnius/miesto-pulsas/aktyvistai-rado-itartinu-giju-521594,politics,business,,0,
http://www.tv3.lt/naujiena/745431/sirijos-armija-atkovojo-is-sukileliu-svarbu-rajona-homso-mieste,politics,,,0,
http://www.lrytas.lt/pasaulis/konfliktai-ir-saugumas/jemeno-miestas-adenas-virto-miestu-vaiduokliu.htm,politics,,,0,
http://www.alfa.lt/straipsnis/10248294/europos-sajungos-parama-lietuvos-svietimui-2-mlrd-litu,politics,,,0,
http://www.lrytas.lt/lietuvos-diena/kriminalai/izulioji-policijos-pareigunu-porele-nepajudinama.htm,crime,,,0,
http://www.lrytas.lt/lietuvos-diena/aktualijos/kandidatas-i-kulturos-ministrus-g-drukteinis-nejaucia-sentimentu-lietuvai-a-butkeviciaus-komentaras.htm,politics,,,0,
http://www.delfi.lt/gyvenimas/grozis_ir_sveikata/kas-trukdo-sportuoti-asmenines-motyvacijos-nustatymo-testas.d?id=57366395,psychology,,,0,
http://www.lrytas.lt/verslas/rinkos-pulsas/kaip-gaivinsime-probleminius-salies-regionus.htm,business,politics,,0,
http://www.lrytas.lt/lietuvos-diena/kriminalai/h-daktaras-prasau-paskirti-mums-civilizuota-prokurora.htm,crime,,,0,
http://www.alfa.lt/straipsnis/144979/bankai-investuoja-i-pinigu-plovimo-apsauga,business,,,0,
http://www.15min.lt/naujiena/aktualu/pasaulis/libijoje-sukileliu-uzimtam-miestui-suduoti-smugiai-is-oro-57-141838,politics,,,0,
http://www.15min.lt/naujiena/aktualu/karo-zona/rusijoje-ketvirtadieni-suduzo-du-kariniai-lektuvai-784-507741,politics,,,0,
http://www.15min.lt/naujiena/aktualu/pasaulis/angela-merkel-isrinkta-savo-partijos-lydere-57-124488,politics,,,0,
http://iq.lt/ekonomika/protestuotojai-siulo-ivesti-robino-hudo-mokesti,business,,,0,
http://www.delfi.lt/news/daily/lithuania/politologas-atsaukti-bet-neatleisti-ambasadoriai-keistas-kompromisas.d?id=62157939,politics,,,0,
http://www.alfa.lt/straipsnis/11660171/cekijoje-per-balkona-iskrito-jaunavedziu-pora-zuvo-lietuve,crime,,,0,
http://www.tv3.lt/naujiena/631581/7-kvailiausi-budai-atsitiktinai-nusizudyti,crime,,,0,
http://www.alfa.lt/straipsnis/15145774/kino-pavasaris-jau-sudarineja-geidziamiausiu-filmu-sarasa,entertainment,,,0,
http://www.delfi.lt/auto/patarimai/nauja-tendencija-sudega-vis-brangesni-automobiliai.d?id=61834507,auto,,,0,
http://www.alfa.lt/straipsnis/14140189/kaip-astuntuka-pagimdziusi-suleman-atsikrate-60-kilogramu-svorio,humaninterest,,,0,
http://www.delfi.lt/auto/autonaujienos/sutartinai-kainas-didinusiems-automobiliu-daliu-gamintojams-milziniskos-baudos.d?id=61859123,auto,crime,,0,
http://www.tv3.lt/naujiena/624744/smunkantys-pardavimai-europoje-vercia-peugeot-mazinti-208-hecbeko-gamyba,auto,business,,0,
http://www.alfa.lt/straipsnis/15051638/dar-vienas-makedonu-antausis-lietuvos-sportui-pralaimejo-ir-futbolininkai,sports,,,0,
http://grynas.delfi.lt/aplinka/lydeku-megejams-ruosiasi-uzkurti-tikra-pirti.d?id=67192976,nature,,,0,
http://www.15min.lt/naujiena/aktualu/nusikaltimaiirnelaimes/pareigunui-i-koja-kaune-ispyrusi-jauna-ispane-nakti-praleido-arestineje-59-367474,crime,,,0,
http://www.alfa.lt/straipsnis/15062582/vyrai-yra-kitokie-moterys-taip-pat,psychology,,,0,
http://iq.lt/ekonomika/a-semeta-ragina-nusiraminti-es-paramos-sustabdymas-nera-tragedija,business,politics,,0,
http://www.lrytas.lt/pramogos/zmones/m-levickis-su-akordeonu-nesiskiria-net-ant-raudonojo-kilimo.htm,entertainment,travel,,0,
http://www.tv3.lt/naujiena/511566/europos-viesbuciai-lapkriti-atpigo,business,,,0,
http://www.diena.lt/naujienos/klaipeda/miesto-pulsas/nupraus-uostamiescio-skulpturas-687601,entertainment,,,0,
http://www.diena.lt/naujienos/kaunas/menas-ir-pramogos/stiklo-papuosaluose-uzkoduota-zinia-688595,entertainment,,,0,
http://www.lrytas.lt/pramogos/uzsienio-zvaigzdes/87-eriu-playboy-bosas-isdykauja-su-triskart-jaunesne-zmona.htm,humaninterest,,,0,
http://www.delfi.lt/news/daily/world/j-kerry-rusijos-laukia-izoliacija.d?id=64191400,politics,,,0,
http://www.alfa.lt/straipsnis/1100803/prekybininkai-ir-verslininkai-daugiau-demesio-skiria-velinems,business,,,0,
http://www.alfa.lt/straipsnis/11525168/skaluniniu-duju-paieskos-sukele-zemes-drebejima,business,crime,,0,
http://www.lrytas.lt/lietuvos-diena/aktualijos/kibernetine-apsauga-aktuali-visai-europai.htm,politics,,,0,
http://www.15min.lt/naujiena/aktualu/lietuva/egluciu-prekyba-isibegejo-56-129123,business,,,0,
http://www.15min.lt/zmones/naujiena/gyvenimo-skonis/mada/irodymas-victoria-secret-modeliu-figuros-nevienodos-36-88096,style,,,0,
http://grynas.delfi.lt/aplinka/nemuno-vanduo-parudo-del-tilto-statybu.d?id=63030762,nature,,,0,
http://www.lrytas.lt/pramogos/tv-kinas/garsaus-architekto-a-kanco-pinigine-sunkia-pastatas-vaiduoklis.htm,humaninterest,,,0,
http://www.alfa.lt/straipsnis/49868562/lietuvos-boksininko-laukia-zutbutine-kova-rusijoje,sports,,,0,
http://www.15min.lt/naujiena/aktualu/lietuva/lietuvoje-nemegstamiausiais-kaimynais-islieka-romai-56-221951,politics,,,0,
http://www.15min.lt/naujiena/aktualu/pasaulis/buves-lenkijos-prezidentas-lwalesa-nedalyvaus-solidarumo-ikurimo-30-uju-metiniu-ceremonijose-57-113432,politics,,,0,
http://www.lrytas.lt/pramogos/keliones-ir-pomegiai/lana-del-rey-karibuose-mylimaji-lepino-karstais-buciniais.htm,humaninterest,,,0,
http://www.tv3.lt/naujiena/702670/a-wengeras-nesiruosiu-palikti-arsenal,sports,,,0,
http://www.tv3.lt/naujiena/810158/raudonuju-aktyvistu-susiburimas-vokietijos-susivienijimo-diena,politics,,,0,
http://www.15min.lt/naujiena/aktualu/lietuva/sasha-song-klaipedoje-ikunys-george-michaela-56-52334,entertainment,,,0,
http://www.delfi.lt/news/daily/crime/traku-mokytojo-byla-zudikas-ir-ji-pasamdziusi-zmona-kales-po-15-metu.d?id=46663827,crime,,,0,
http://www.alfa.lt/straipsnis/15073557/auksciausiasis-teismas-isnagrinejo-garliavos-mergaites-gyvenamosios-vietos-nustatymo-byla,crime,,,0,
http://www.15min.lt/naujiena/aktualu/lietuva/kauno-apylinkes-semia-potvynis-draseikiu-gyvenviete-ir-zatysiu-sodus-jau-skalauja-neries-vanduo-papildysime-56-136582,crime,,,0,
http://www.diena.lt/naujienos/kaunas/menas-ir-pramogos/kauno-leliu-teatras-maziesiems-pasiulys-tris-naujus-spektaklius-646677,entertainment,,,0,
http://www.tv3.lt/naujiena/723748/patiklus-svedas-prarado-turto-uz-beveik-60-tukst-litu,crime,,,0,
http://www.alfa.lt/straipsnis/15082144/kas-ir-kodel-persekioja-pribuvejas,crime,health,,0,
http://www.delfi.lt/news/daily/hot/reikalaujama-kad-darbuotojos-butu-be-krutu-implantu.d?id=48930252,humaninterest,,,0,
http://www.delfi.lt/verslas/energetika/derybininkus-del-iae-uzdarymo-d-matulioni-ir-n-tankeviciu-sieja-darbas-danijoje.d?id=51479577,business,,,0,
http://www.delfi.lt/news/daily/world/kairiojo-fronto-lyderiui-sudalcovui-10-paru-aresto.d?id=53370515,politics,crime,,0,
http://www.tv3.lt/naujiena/620085/jav-suimtas-cikagos-gyventojas-renges-teroro-akta,crime,,,0,
http://www.alfa.lt/straipsnis/15139396/brolius-dailininkus-gataveckus-nuo-mirties-isgelbejo-breikas,humaninterest,,,0,
http://vz.lt/archive/article/2013/8/1/energetikos-ministras-mato-ae-projekta-lietuvoje,business,,,0,
http://www.lrytas.lt/lietuvos-diena/kriminalai/teisme-dar-viena-a-ramanausko-vanago-nuzudymo-byla.htm,crime,,,0,
http://www.alfa.lt/straipsnis/10371405/fox-gresia-tarnybinis-romanas,humaninterest,,,0,
http://www.lrytas.lt/pramogos/tv-kinas/auksinis-balsas-edmundas-kucinskas-atskleide-savo-honoraro-dydi.htm,humaninterest,,,0,
http://www.tv3.lt/naujiena/211309/es-ketina-i-gruzija-siusti-stebetojus,politics,,,0,
http://www.lrytas.lt/verslas/rinkos-pulsas/v-putinas-sankcijos-mums-padejo-bet-kainos-kils.htm,business,politics,,0,
http://www.alfa.lt/straipsnis/49826517/ivertinta-kiek-krymo-aneksija-kainuos-rusijai,business,politics,,0,
http://www.15min.lt/naujiena/pasaulio-idomybes/azija/iranas-salis-kurioje-daugiausiai-nepilnameciu-ivykdoma-mirties-bausme-264-111594,travel,,,0,
http://www.tv3.lt/naujiena/813105/nepatikesite-maziausias-skirtumas-tarp-vyru-ir-moteru-atlyginimu-afrikoje,business,,,0,
http://www.alfa.lt/straipsnis/49837401/sanchajuje-sia-savaite-vyksta-tarptautine-automobiliu-paroda,auto,business,entertainment,0,
http://www.tv3.lt/naujiena/432648/kada-bus-laikas-demokratijai,politics,,,0,
http://www.alfa.lt/straipsnis/49834275/intriguojanti-uzduotis-moterys-piesia-tobula-peni,psychology,,,0,
http://www.15min.lt/naujiena/aktualu/lietuva/valdantieji-linke-atmesti-dalios-grybauskaites-veto-del-pilietybes-istatymo-56-126950,politics,,,0,
http://www.diena.lt/naujienos/klaipeda/nusikaltimai-ir-nelaimes/uostamiestyje-duzo-masinos-nukentejo-zmones-646104,crime,,,0,
http://www.delfi.lt/mokslas/technologijos/kinai-tvirtina-jog-apple-nukopijavo-ju-kompiuteri.d?id=28553163,technology,,,0,
http://www.lrytas.lt/pramogos/zmones/inirses-e-dragunas-a-mamontova-isvadino-siuksle-ir-troliu.htm,humaninterest,,,0,
http://www.tv3.lt/naujiena/744918/vakuuminio-masazo-stebuklai-kunas-be-celiulito,health,,,0,
http://www.diena.lt/naujienos/verslas/ekonomika/euro-teks-palaukti-509650,business,,,0,
http://www.15min.lt/zmones/naujiena/pramogos/muzika/ivertinkite-markas-palubenka-pristato-dainos-god-is-in-the-rain-vaizdo-klipa-28-268791,entertainment,humaninterest,,0,
